location,count,crime_type
ANDHRA PRADESH,1150.0,rape
ARUNACHAL PRADESH,51.0,rape
ASSAM,928.0,rape
BIHAR,1400.0,rape
CHHATTISGARH,1134.0,rape
GOA,14.0,rape
GUJARAT,401.0,rape
HARYANA,539.0,rape
HIMACHAL PRADESH,152.0,rape
JAMMU & KASHMIR,222.0,rape
JHARKHAND,637.0,rape
KARNATAKA,361.0,rape
KERALA,712.0,rape
MADHYA PRADESH,3212.0,rape
MAHARASHTRA,1886.0,rape
MANIPUR,17.0,rape
MEGHALAYA,29.0,rape
MIZORAM,64.0,rape
NAGALAND,28.0,rape
ODISHA,887.0,rape
PUNJAB,459.0,rape
RAJASTHAN,1147.0,rape
SIKKIM,6.0,rape
TAMIL NADU,565.0,rape
TRIPURA,139.0,rape
UTTAR PRADESH,2685.0,rape
UTTARAKHAND,82.0,rape
WEST BENGAL,1027.0,rape
TOTAL (STATES),19934.0,rape
A & N ISLANDS,3.0,rape
CHANDIGARH,32.0,rape
D & N HAVELI,10.0,rape
DAMAN & DIU,0.0,rape
DELHI,454.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,13.0,rape
TOTAL (UTs),512.0,rape
TOTAL (ALL-INDIA),20446.0,rape
ANDHRA PRADESH,965.0,rape
ARUNACHAL PRADESH,60.0,rape
ASSAM,1583.0,rape
BIHAR,988.0,rape
CHHATTISGARH,223.0,rape
GOA,8.0,rape
GUJARAT,1063.0,rape
HARYANA,298.0,rape
HIMACHAL PRADESH,74.0,rape
JAMMU & KASHMIR,633.0,rape
JHARKHAND,318.0,rape
KARNATAKA,306.0,rape
KERALA,114.0,rape
MADHYA PRADESH,917.0,rape
MAHARASHTRA,1022.0,rape
MANIPUR,58.0,rape
MEGHALAYA,9.0,rape
MIZORAM,5.0,rape
NAGALAND,9.0,rape
ODISHA,555.0,rape
PUNJAB,369.0,rape
RAJASTHAN,1261.0,rape
SIKKIM,0.0,rape
TAMIL NADU,808.0,rape
TRIPURA,43.0,rape
UTTAR PRADESH,4295.0,rape
UTTARAKHAND,153.0,rape
WEST BENGAL,1331.0,rape
TOTAL (STATES),17468.0,rape
A & N ISLANDS,4.0,rape
CHANDIGARH,43.0,rape
D & N HAVELI,3.0,rape
DAMAN & DIU,2.0,rape
DELHI,298.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,1.0,rape
TOTAL (UTs),351.0,rape
TOTAL (ALL-INDIA),17819.0,rape
ANDHRA PRADESH,1054.0,rape
ARUNACHAL PRADESH,0.0,rape
ASSAM,95.0,rape
BIHAR,2899.0,rape
CHHATTISGARH,163.0,rape
GOA,4.0,rape
GUJARAT,238.0,rape
HARYANA,734.0,rape
HIMACHAL PRADESH,15.0,rape
JAMMU & KASHMIR,40.0,rape
JHARKHAND,557.0,rape
KARNATAKA,422.0,rape
KERALA,55.0,rape
MADHYA PRADESH,1503.0,rape
MAHARASHTRA,1009.0,rape
MANIPUR,0.0,rape
MEGHALAYA,0.0,rape
MIZORAM,0.0,rape
NAGALAND,0.0,rape
ODISHA,603.0,rape
PUNJAB,450.0,rape
RAJASTHAN,722.0,rape
SIKKIM,0.0,rape
TAMIL NADU,2266.0,rape
TRIPURA,94.0,rape
UTTAR PRADESH,6305.0,rape
UTTARAKHAND,161.0,rape
WEST BENGAL,725.0,rape
TOTAL (STATES),20114.0,rape
A & N ISLANDS,0.0,rape
CHANDIGARH,7.0,rape
D & N HAVELI,0.0,rape
DAMAN & DIU,0.0,rape
DELHI,256.0,rape
LAKSHADWEEP,0.0,rape
PUDUCHERRY,4.0,rape
TOTAL (UTs),267.0,rape
TOTAL (ALL-INDIA),20381.0,rape
